7.32,185.4,6.8,5.2,apple
7.58,193.1,6.1,6.3,apple
6.74,158.7,8.2,4.1,apple
8.05,212.6,5.3,6.9,apple
7.01,176.8,7.1,5.0,apple
6.48,149.2,9.1,3.2,apple
7.37,187.5,6.4,5.8,apple
6.92,166.3,7.9,4.3,apple
7.64,201.9,5.1,6.7,apple
7.13,172.4,7.3,5.1,apple
7.45,190.2,6.2,5.9,apple
6.71,156.8,8.4,4.0,apple
7.82,207.3,5.0,6.8,apple
6.59,153.7,8.9,3.4,apple
7.76,203.1,5.4,6.5,apple
7.04,174.6,7.0,5.2,apple
7.93,210.8,4.9,7.1,apple
6.42,147.5,9.3,3.1,apple
7.26,181.9,7.2,5.3,apple
7.53,194.7,6.0,6.1,apple
6.88,169.2,7.8,4.2,apple
7.34,188.1,6.3,5.7,apple
6.77,163.4,8.1,4.4,apple
7.61,200.5,5.2,6.6,apple
7.08,175.2,7.4,5.0,apple
7.41,189.6,6.5,5.8,apple
6.68,159.1,8.3,4.1,apple
7.79,208.4,5.1,6.9,apple
6.52,150.8,9.0,3.3,apple
7.68,204.7,5.3,6.4,apple
7.02,177.3,7.2,5.1,apple
7.29,184.2,7.1,5.2,apple
7.56,195.8,6.1,6.2,apple
18.12,121.4,5.2,2.1,banana
17.48,114.3,6.1,1.2,banana
19.07,131.2,4.3,2.0,banana
18.45,124.6,5.1,1.1,banana
17.03,110.8,6.2,2.2,banana
19.52,135.7,4.1,1.0,banana
18.24,122.9,5.3,2.1,banana
17.81,118.5,6.0,1.1,banana
18.73,128.4,5.2,2.0,banana
17.32,112.7,6.1,1.2,banana
18.94,130.1,4.2,2.1,banana
17.63,116.2,6.2,1.0,banana
19.18,132.8,4.1,2.2,banana
18.37,123.9,5.2,1.1,banana
17.11,111.5,6.3,2.1,banana
19.33,134.2,4.0,2.0,banana
18.15,121.8,5.4,2.2,banana
17.92,119.3,6.1,1.1,banana
18.64,127.6,5.3,2.1,banana
17.41,113.4,6.2,1.2,banana
18.82,129.1,5.1,2.0,banana
17.23,112.1,6.3,2.2,banana
19.11,131.7,4.2,2.1,banana
18.29,123.2,5.3,1.1,banana
17.74,117.8,6.1,1.0,banana
19.41,134.9,4.1,1.1,banana
18.08,120.6,5.4,2.2,banana
17.52,115.1,6.2,1.2,banana
19.03,130.8,4.3,2.0,banana
18.49,125.3,5.2,1.1,banana
17.07,110.4,6.4,2.2,banana
19.57,136.1,4.0,1.0,banana
18.21,122.5,5.5,2.1,banana
2.04,5.2,9.1,8.2,grape
1.83,4.1,10.2,9.1,grape
2.21,6.3,8.1,7.2,grape
2.12,5.4,9.2,8.3,grape
1.91,4.2,10.1,9.2,grape
2.33,7.4,7.9,6.8,grape
2.01,5.1,9.3,8.1,grape
1.72,3.2,10.3,9.3,grape
2.42,8.5,7.1,6.2,grape
2.15,5.6,9.0,8.4,grape
1.63,3.1,10.4,9.4,grape
2.51,8.9,7.0,6.1,grape
2.24,6.5,8.2,7.1,grape
1.87,4.3,10.0,9.0,grape
2.36,7.7,7.8,6.9,grape
2.07,5.3,9.4,8.0,grape
1.94,4.4,10.2,9.1,grape
2.18,5.7,9.1,8.2,grape
2.45,8.8,7.2,6.3,grape
1.76,3.4,10.1,9.2,grape
2.27,6.8,8.0,7.0,grape
2.39,7.9,7.7,6.7,grape
2.09,5.5,9.2,8.1,grape
1.89,4.5,10.3,9.3,grape
2.16,5.8,9.3,8.3,grape
2.54,9.2,6.9,6.0,grape
1.97,4.6,10.1,9.1,grape
2.03,5.0,9.5,8.2,grape
2.29,6.9,8.1,7.1,grape
2.31,7.1,7.9,6.8,grape
2.19,5.9,9.0,8.4,grape
1.85,4.0,10.2,9.2,grape
2.48,8.6,7.3,6.4,grape
